session_id,timestamp_ms,event_type,confidence,source,notes
2026-08-10-001,0,SESSION_START,1.0,system,
2026-08-10-001,15000,MOTOR_START,0.95,baseline,
2026-08-10-001,15000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,22000,TAKEOFF,0.915,synthetic_truth,
2026-08-10-001,55000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-10-001,57000,RECOVERY,0.85,baseline,
2026-08-10-001,90000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,90000,FALL,0.937,synthetic_truth,
2026-08-10-001,106000,MOTOR_START,0.95,baseline,
2026-08-10-001,106000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,113000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,113000,FALL,0.971,synthetic_truth,
2026-08-10-001,127000,MOTOR_START,0.95,baseline,
2026-08-10-001,127000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,132000,TAKEOFF,0.901,synthetic_truth,
2026-08-10-001,166000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,166000,FALL,0.836,synthetic_truth,
2026-08-10-001,179000,MOTOR_START,0.95,baseline,
2026-08-10-001,179000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,186000,TAKEOFF,0.882,synthetic_truth,
2026-08-10-001,207000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-10-001,209000,RECOVERY,0.85,baseline,
2026-08-10-001,231000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,231000,FALL,0.885,synthetic_truth,
2026-08-10-001,245000,MOTOR_START,0.95,baseline,
2026-08-10-001,245000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,253000,TAKEOFF,0.891,synthetic_truth,
2026-08-10-001,273000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-10-001,275000,RECOVERY,0.85,baseline,
2026-08-10-001,295000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,295000,FALL,0.816,synthetic_truth,
2026-08-10-001,315000,MOTOR_START,0.95,baseline,
2026-08-10-001,315000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,321000,TAKEOFF,0.906,synthetic_truth,
2026-08-10-001,366000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,366000,FALL,0.849,synthetic_truth,
2026-08-10-001,389000,MOTOR_START,0.95,baseline,
2026-08-10-001,389000,START_ATTEMPT,0.8,synthetic_truth,
2026-08-10-001,396000,TAKEOFF,0.94,synthetic_truth,
2026-08-10-001,413000,TOUCHDOWN,0.8,synthetic_truth,
2026-08-10-001,415000,RECOVERY,0.85,baseline,
2026-08-10-001,433000,MOTOR_STOP,0.95,baseline,
2026-08-10-001,433000,FALL,0.861,synthetic_truth,
2026-08-10-001,473900,SESSION_END,1.0,system,
