schema_version,timestamp_ms,session_id,config_id,vesc_vin_V,vesc_battery_A,vesc_motor_A,vesc_duty,vesc_erpm,vesc_mosfet_C,vesc_motor_or_safety_ntc_C,pack1_C,pack2_C,pack3_C,pack4_C,pack5_C,pack6_C,enclosure_C,water_adc,water_alarm,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,amp_hours,watt_hours,fault_code,remote_ok,sd_ok,gps_lat,gps_lon,gps_speed_mps,gps_course_deg,gps_fix_quality,sim_state,sim_attempt_id,sim_outcome,scenario
1.0.0,0,2026-08-10-001,FOIL_001,50.344045,0.138432,0.172955,0.035302,-51.227465,23.000000,22.600000,21.619501,21.733024,21.753127,21.870034,21.930597,21.972570,22.000000,3847.091370,False,0.089437,0.026803,0.943359,-3.765637,-3.284176,1.922439,0.000004,0.000194,0,True,True,40.552400,-105.162800,0.000000,27.035465,2,IDLE,-1,NONE,Learning session
1.0.0,100,2026-08-10-001,FOIL_001,50.343828,0.143394,0.176181,0.052106,131.246529,22.999587,22.599833,21.599635,21.703508,21.809828,21.809661,21.908436,21.966594,21.999981,3859.210629,False,-0.045385,0.057418,1.005393,0.826478,4.706881,-7.738400,0.000008,0.000394,0,True,True,40.552403,-105.162802,0.000000,26.656874,2,IDLE,-1,NONE,Learning session
1.0.0,200,2026-08-10-001,FOIL_001,50.344443,0.129023,0.159805,0.054115,352.249533,22.999173,22.599666,21.570394,21.598019,21.712187,21.864682,21.934497,21.968959,21.999961,3861.795917,False,0.040471,-0.053097,0.935167,-0.679150,-3.310334,-0.589463,0.000011,0.000575,0,True,True,40.552402,-105.162802,0.031047,26.741315,2,IDLE,-1,NONE,Learning session
1.0.0,300,2026-08-10-001,FOIL_001,50.343854,0.142633,0.183709,0.027024,360.822077,22.998761,22.599499,21.661535,21.682327,21.821133,21.817573,21.951290,21.957800,21.999942,3877.345382,False,0.125021,-0.006457,0.969252,-1.252405,-0.262216,3.897349,0.000015,0.000774,0,True,True,40.552400,-105.162800,0.074126,27.939355,2,IDLE,-1,NONE,Learning session
1.0.0,400,2026-08-10-001,FOIL_001,50.344173,0.135124,0.170075,0.052738,-45.283143,22.998348,22.599332,21.564395,21.659557,21.766154,21.795959,21.880505,21.958395,21.999922,3892.349580,False,0.130579,-0.057085,0.874792,-0.934209,5.058601,4.868909,0.000019,0.000963,0,True,True,40.552405,-105.162803,0.000000,28.290415,2,IDLE,-1,NONE,Learning session
1.0.0,500,2026-08-10-001,FOIL_001,50.343864,0.142250,0.186226,0.039707,729.955837,22.997935,22.599166,21.620206,21.597106,21.822363,21.877864,21.944625,21.974208,21.999903,3879.384743,False,-0.026265,-0.108825,0.995120,3.246807,3.879399,1.097412,0.000023,0.001162,0,True,True,40.552400,-105.162803,0.046122,28.683499,2,IDLE,-1,NONE,Learning session
1.0.0,600,2026-08-10-001,FOIL_001,50.344126,0.136063,0.172779,0.044941,193.729301,22.997523,22.598999,21.621427,21.673506,21.759162,21.864810,21.868568,21.959809,21.999883,3865.848050,False,0.065498,-0.082333,1.170942,-0.970866,-3.540565,-1.155634,0.000027,0.001352,0,True,True,40.552397,-105.162801,0.055297,29.495342,2,IDLE,-1,NONE,Learning session
1.0.0,700,2026-08-10-001,FOIL_001,50.344320,0.131490,0.159880,0.023613,625.691128,22.997109,22.598832,21.655681,21.710690,21.777387,21.883779,21.912627,21.895947,21.999864,3865.187810,False,0.088593,-0.110340,0.839876,1.357894,-3.877754,-1.023451,0.000031,0.001536,0,True,True,40.552399,-105.162804,0.007731,29.051043,2,IDLE,-1,NONE,Learning session
1.0.0,800,2026-08-10-001,FOIL_001,50.343820,0.143038,0.185655,0.047547,484.362581,22.996698,22.598665,21.580060,21.723521,21.776479,21.842255,21.899157,22.001527,21.999844,3914.556060,False,-0.111286,-0.124097,1.023550,-1.740874,-1.276998,-1.207860,0.000034,0.001736,0,True,True,40.552399,-105.162798,0.000000,29.006464,2,IDLE,-1,NONE,Learning session
1.0.0,900,2026-08-10-001,FOIL_001,50.344128,0.135779,0.175994,0.075118,777.411335,22.996285,22.598498,21.598247,21.658969,21.750243,21.839315,21.867582,21.964163,21.999825,3852.239870,False,0.003750,0.055071,0.947537,-0.577459,0.790173,1.848249,0.000038,0.001926,0,True,True,40.552401,-105.162801,0.111096,27.456309,2,IDLE,-1,NONE,Learning session
1.0.0,1000,2026-08-10-001,FOIL_001,50.344009,0.138476,0.181168,0.043492,168.628616,22.995873,22.598332,21.597358,21.755850,21.786810,21.872356,21.883045,22.018231,21.999806,3888.324735,False,-0.043911,-0.043026,1.022410,-1.887151,1.827117,-1.275604,0.000042,0.002120,0,True,True,40.552399,-105.162800,0.126980,26.810790,2,IDLE,-1,NONE,Learning session
1.0.0,1100,2026-08-10-001,FOIL_001,50.343784,0.143620,0.185620,0.043539,172.176476,22.995462,22.598166,21.686004,21.676540,21.774812,21.832244,21.925255,21.999037,21.999786,3882.431136,False,0.030581,0.065965,1.039321,3.962961,2.629449,3.798170,0.000046,0.002320,0,True,True,40.552398,-105.162804,0.123041,26.757104,2,IDLE,-1,NONE,Learning session
1.0.0,1200,2026-08-10-001,FOIL_001,50.343676,0.146061,0.190586,0.034165,559.855089,22.995051,22.597999,21.641333,21.717960,21.722351,21.811806,21.884488,21.981552,21.999767,3858.977102,False,0.179875,-0.113521,0.917726,-0.181043,-7.797875,-3.234956,0.000050,0.002525,0,True,True,40.552400,-105.162801,0.199893,29.784940,2,IDLE,-1,NONE,Learning session
1.0.0,1300,2026-08-10-001,FOIL_001,50.343589,0.148005,0.194550,0.059778,804.652622,22.994641,22.597833,21.626392,21.668162,21.731230,21.838173,21.825079,21.957369,21.999748,3847.339312,False,0.072435,0.077603,1.000778,-5.861220,-4.890045,-1.579023,0.000054,0.002732,0,True,True,40.552405,-105.162804,0.137103,26.807018,2,IDLE,-1,NONE,Learning session
1.0.0,1400,2026-08-10-001,FOIL_001,50.343443,0.151311,0.191972,0.041437,448.263543,22.994231,22.597668,21.582708,21.724162,21.730288,21.862596,21.957135,22.016296,21.999729,3851.117121,False,-0.019164,-0.024888,1.063042,-0.182746,-1.326019,-4.781944,0.000058,0.002943,0,True,True,40.552404,-105.162800,0.000000,28.685335,2,IDLE,-1,NONE,Learning session
1.0.0,1500,2026-08-10-001,FOIL_001,50.343880,0.141056,0.181239,0.056456,777.667149,22.993820,22.597501,21.618113,21.668547,21.769989,21.823350,21.974631,21.989549,21.999709,3853.744405,False,0.009003,-0.021230,0.945945,-3.210932,7.971742,3.764450,0.000062,0.003141,0,True,True,40.552399,-105.162800,0.264838,28.840325,2,IDLE,-1,NONE,Learning session
1.0.0,1600,2026-08-10-001,FOIL_001,50.343858,0.141498,0.174457,0.039499,1104.550105,22.993410,22.597335,21.663949,21.678517,21.758672,21.865053,21.941661,21.919963,21.999690,3841.042610,False,-0.033778,0.045600,1.006270,0.537797,0.627688,-3.176227,0.000066,0.003338,0,True,True,40.552398,-105.162796,0.102592,28.839004,2,IDLE,-1,NONE,Learning session
1.0.0,1700,2026-08-10-001,FOIL_001,50.343902,0.140398,0.186847,0.022698,9.316694,22.992999,22.597169,21.630311,21.768697,21.832003,21.840653,21.943161,21.963578,21.999671,3856.970931,False,-0.075023,-0.025018,0.925207,0.963734,5.115172,0.076024,0.000070,0.003535,0,True,True,40.552399,-105.162800,0.169310,29.296876,2,IDLE,-1,NONE,Learning session
1.0.0,1800,2026-08-10-001,FOIL_001,50.343981,0.138475,0.178415,0.052596,832.580584,22.992588,22.597002,21.601316,21.698310,21.794915,21.794933,21.916206,22.032538,21.999651,3850.414668,False,0.019253,0.013220,1.181113,4.134589,2.020982,1.448165,0.000074,0.003728,0,True,True,40.552402,-105.162804,0.150953,28.363825,2,IDLE,-1,NONE,Learning session
1.0.0,1900,2026-08-10-001,FOIL_001,50.344065,0.136451,0.172824,0.045260,864.996749,22.992177,22.596836,21.599677,21.685197,21.751724,21.779967,21.846774,21.998706,21.999632,3826.309940,False,-0.090757,-0.028062,1.104117,5.423013,1.276537,-0.181307,0.000078,0.003919,0,True,True,40.552400,-105.162793,0.038559,28.336192,2,IDLE,-1,NONE,Learning session
1.0.0,2000,2026-08-10-001,FOIL_001,50.343949,0.139068,0.187559,0.051199,214.216975,22.991767,22.596670,21.595201,21.749364,21.836745,21.852506,21.928716,21.975294,21.999612,3828.674737,False,0.037787,0.055821,1.101259,0.809240,6.449441,-0.970674,0.000082,0.004114,0,True,True,40.552399,-105.162795,0.000000,29.515287,2,IDLE,-1,NONE,Learning session
1.0.0,2100,2026-08-10-001,FOIL_001,50.343947,0.139034,0.170636,0.052486,490.806257,22.991357,22.596504,21.609809,21.673491,21.811631,21.797007,21.951509,21.930273,21.999593,3847.510161,False,0.006190,-0.148735,1.035446,-1.245159,0.140015,-3.889594,0.000086,0.004308,0,True,True,40.552400,-105.162801,0.026306,27.228311,2,IDLE,-1,NONE,Learning session
1.0.0,2200,2026-08-10-001,FOIL_001,50.343778,0.142891,0.187705,0.024508,553.925800,22.990947,22.596338,21.590216,21.673190,21.804105,21.841433,21.846784,21.981248,21.999574,3852.148634,False,0.045950,0.026067,1.048303,-1.574663,7.025920,-0.963103,0.000090,0.004508,0,True,True,40.552399,-105.162802,0.251456,27.833378,2,IDLE,-1,NONE,Learning session
