schema_version,timestamp_ms,session_id,config_id,vesc_vin_V,vesc_battery_A,vesc_motor_A,vesc_duty,vesc_erpm,vesc_mosfet_C,vesc_motor_or_safety_ntc_C,pack1_C,pack2_C,pack3_C,pack4_C,pack5_C,pack6_C,enclosure_C,water_adc,water_alarm,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,amp_hours,watt_hours,fault_code,remote_ok,sd_ok,gps_lat,gps_lon,gps_speed_mps,gps_course_deg,gps_fix_quality,sim_state,scenario
1.0.0,0,2026-08-14-001,FOIL_002,49.992092,0.151528,0.189410,0.013324,2.454635,24.007584,23.000003,21.974815,21.940019,22.045425,22.114493,22.053721,22.086703,22.000002,3860.652667,False,-0.063920,-0.257656,0.982663,12.509588,-5.773735,-9.982925,0.000004,0.000210,0,True,True,40.552400,-105.162800,0.000000,35.000000,2,IDLE,Pack 4 thermal anomaly
1.0.0,100,2026-08-14-001,FOIL_002,49.992640,0.140965,0.176206,0.094198,4509.038463,24.007063,23.000006,21.946754,21.994329,21.964440,21.997220,22.038301,21.933036,22.000003,3865.895276,False,0.049547,-0.151279,1.003657,-14.644925,2.492539,-31.056657,0.000008,0.000406,0,True,True,40.552401,-105.162800,0.692512,35.021176,2,IDLE,Pack 4 thermal anomaly
1.0.0,200,2026-08-14-001,FOIL_002,49.991359,0.165438,0.206798,0.050676,2968.092346,24.008296,23.000010,22.037830,22.101393,21.974807,21.976804,21.886847,22.114369,22.000005,3890.814853,False,0.111236,0.389962,1.021986,-22.968260,-1.447878,2.741681,0.000013,0.000636,0,True,True,40.552401,-105.162799,0.441395,35.042353,2,IDLE,Pack 4 thermal anomaly
1.0.0,300,2026-08-14-001,FOIL_002,49.991853,0.155896,0.194870,0.056561,3015.037747,24.007828,23.000013,21.927859,21.994100,22.079904,22.045012,21.931570,21.977567,22.000007,3861.836290,False,0.107327,0.347380,0.983316,23.314689,31.183873,-1.660859,0.000017,0.000852,0,True,True,40.552401,-105.162799,0.440375,35.063529,2,IDLE,Pack 4 thermal anomaly
1.0.0,400,2026-08-14-001,FOIL_002,49.990976,0.172650,0.215813,0.000000,54.393537,24.008675,23.000017,21.971002,21.964173,21.946393,21.961885,22.046904,21.926356,22.000009,3878.321308,False,-0.332769,0.338362,0.814920,13.750853,20.183981,9.987107,0.000022,0.001092,0,True,True,40.552401,-105.162799,0.000000,35.084706,2,IDLE,Pack 4 thermal anomaly
1.0.0,500,2026-08-14-001,FOIL_002,49.991324,0.165896,0.207370,0.000547,-2.089054,24.008346,23.000021,21.883312,21.873984,22.005606,22.081278,21.903098,22.022234,22.000011,3854.770726,False,0.061535,-0.151629,0.814151,2.249461,-1.564586,-27.280504,0.000026,0.001323,0,True,True,40.552401,-105.162799,0.000000,35.105882,2,IDLE,Pack 4 thermal anomaly
1.0.0,600,2026-08-14-001,FOIL_002,49.991773,0.157212,0.196515,0.063913,3299.058175,24.007921,23.000024,21.951556,21.938578,22.063572,22.078453,21.915542,22.084692,22.000013,3830.054754,False,-0.281784,-0.223084,1.149331,-12.171665,2.256143,-2.566062,0.000031,0.001541,0,True,True,40.552402,-105.162799,0.476338,35.127058,2,IDLE,Pack 4 thermal anomaly
1.0.0,700,2026-08-14-001,FOIL_002,49.990872,0.174407,0.218009,0.044313,2930.678915,24.008790,23.000028,22.016369,22.105343,21.902565,21.883849,21.854576,21.974402,22.000015,3847.698655,False,0.132513,-0.099285,1.070307,-1.909302,-30.771424,-20.702356,0.000036,0.001783,0,True,True,40.552402,-105.162798,0.453761,35.148234,2,IDLE,Pack 4 thermal anomaly
1.0.0,800,2026-08-14-001,FOIL_002,49.990966,0.172534,0.215667,0.025809,663.868748,24.008706,23.000032,22.140183,22.039994,21.943606,22.021852,22.123995,21.970335,22.000017,3843.624171,False,-0.101392,0.274031,0.910530,8.775774,31.569637,5.026765,0.000040,0.002023,0,True,True,40.552402,-105.162798,0.072020,35.169409,2,IDLE,Pack 4 thermal anomaly
1.0.0,900,2026-08-14-001,FOIL_002,49.991201,0.167953,0.209942,0.059884,3063.746430,24.008487,23.000036,21.915207,21.902140,22.139396,21.994844,22.096092,21.965247,22.000019,3883.715871,False,-0.028177,0.033644,0.965133,9.304808,-10.551777,-8.241529,0.000045,0.002256,0,True,True,40.552402,-105.162798,0.451990,35.190585,2,IDLE,Pack 4 thermal anomaly
1.0.0,1000,2026-08-14-001,FOIL_002,49.992672,0.139694,0.174618,0.022135,1338.808488,24.007082,23.000039,21.901036,22.111641,21.846016,22.085377,22.098887,22.014634,22.000021,3826.770697,False,-0.254368,0.079880,0.641324,3.644908,-9.994088,19.941811,0.000049,0.002450,0,True,True,40.552402,-105.162798,0.201261,35.211760,2,IDLE,Pack 4 thermal anomaly
1.0.0,1100,2026-08-14-001,FOIL_002,49.991821,0.155931,0.194914,0.040506,3155.661141,24.007902,23.000042,22.037474,22.073901,21.889401,21.982020,22.030015,21.986104,22.000022,3823.111558,False,-0.275866,0.268354,1.129749,-19.855985,14.123881,12.999835,0.000053,0.002666,0,True,True,40.552403,-105.162798,0.411893,35.232935,2,IDLE,Pack 4 thermal anomaly
