phase,sensor,samples,seconds,mean_C,p95_C,peak_C,mean_heat_rate_C_min
IDLE,pack1_C,1370,137.0000,22.7936,23.5820,23.6613,-0.0493
ACCELERATING,pack1_C,370,37.0000,22.6559,23.4613,23.5573,0.4472
FOILING,pack1_C,2590,259.0000,22.6647,23.5594,23.6791,0.3778
TOUCHDOWN,pack1_C,80,8.0000,22.6344,23.3101,23.3986,0.2279
FALL,pack1_C,120,12.0000,22.8705,23.6036,23.6434,0.1597
IDLE,pack2_C,1370,137.0000,22.8682,23.6605,23.7601,-0.0605
ACCELERATING,pack2_C,370,37.0000,22.7286,23.5392,23.6440,0.4382
FOILING,pack2_C,2590,259.0000,22.7427,23.6546,23.7676,0.3888
TOUCHDOWN,pack2_C,80,8.0000,22.7141,23.4141,23.4584,0.2704
FALL,pack2_C,120,12.0000,22.9505,23.6996,23.7383,0.1563
IDLE,pack3_C,1370,137.0000,22.9486,23.7562,23.8371,-0.0536
ACCELERATING,pack3_C,370,37.0000,22.8102,23.6257,23.7324,0.4584
FOILING,pack3_C,2590,259.0000,22.8200,23.7328,23.8608,0.3849
TOUCHDOWN,pack3_C,80,8.0000,22.7916,23.4954,23.5049,0.2793
FALL,pack3_C,120,12.0000,23.0235,23.7741,23.8042,0.1502
IDLE,pack4_C,1370,137.0000,23.0237,23.8361,23.9103,-0.0640
ACCELERATING,pack4_C,370,37.0000,22.8849,23.7265,23.8260,0.4668
FOILING,pack4_C,2590,259.0000,22.8966,23.8237,23.9230,0.3911
TOUCHDOWN,pack4_C,80,8.0000,22.8662,23.5653,23.6362,0.2806
FALL,pack4_C,120,12.0000,23.0992,23.8565,23.9012,0.1535
IDLE,pack5_C,1370,137.0000,23.1019,23.9209,24.0059,-0.0679
ACCELERATING,pack5_C,370,37.0000,22.9615,23.8014,24.0057,0.4692
FOILING,pack5_C,2590,259.0000,22.9737,23.9081,24.0235,0.3970
TOUCHDOWN,pack5_C,80,8.0000,22.9459,23.6706,23.7283,0.2837
FALL,pack5_C,120,12.0000,23.1746,23.9203,24.0043,0.1016
IDLE,pack6_C,1370,137.0000,23.1766,24.0018,24.0826,-0.0777
ACCELERATING,pack6_C,370,37.0000,23.0397,23.9095,24.0265,0.4984
FOILING,pack6_C,2590,259.0000,23.0513,23.9948,24.1043,0.4004
TOUCHDOWN,pack6_C,80,8.0000,23.0108,23.7467,23.7787,0.2058
FALL,pack6_C,120,12.0000,23.2575,24.0243,24.1022,0.1468
IDLE,vesc_mosfet_C,1370,137.0000,24.9042,25.9451,26.0467,-0.5139
ACCELERATING,vesc_mosfet_C,370,37.0000,24.7373,25.8580,25.9350,0.2638
FOILING,vesc_mosfet_C,2590,259.0000,24.8413,26.0221,26.0775,0.7697
TOUCHDOWN,vesc_mosfet_C,80,8.0000,24.7916,25.7733,25.7770,0.6561
FALL,vesc_mosfet_C,120,12.0000,25.2172,26.0673,26.0761,0.3776
IDLE,vesc_motor_or_safety_ntc_C,1370,137.0000,23.6970,24.3476,24.3854,-0.1727
ACCELERATING,vesc_motor_or_safety_ntc_C,370,37.0000,23.5734,24.2622,24.2995,0.1727
FOILING,vesc_motor_or_safety_ntc_C,2590,259.0000,23.6051,24.3546,24.3967,0.4089
TOUCHDOWN,vesc_motor_or_safety_ntc_C,80,8.0000,23.5776,24.1835,24.1856,0.3561
FALL,vesc_motor_or_safety_ntc_C,120,12.0000,23.8305,24.3929,24.3962,0.2395
IDLE,enclosure_C,1370,137.0000,22.6211,23.0077,23.0167,-0.0229
ACCELERATING,enclosure_C,370,37.0000,22.5384,22.9415,22.9581,0.1117
FOILING,enclosure_C,2590,259.0000,22.5407,22.9909,23.0194,0.2078
TOUCHDOWN,enclosure_C,80,8.0000,22.5257,22.8818,22.8830,0.1862
FALL,enclosure_C,120,12.0000,22.6698,23.0185,23.0192,0.1436
